,qid,Questions,Option1,Option2,Option3,Option4,Option5,Answer,sub_diff,diff_lev,cat,lev
15,15,"The ratio between the length and the breadth of a rectangular park is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:",15360,153600,30720,307200,,Answer: Option B,0,0,logical,0.0
16,16,An error 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area of the square is:,2%,2.02%,4%,4.04%,,Answer: Option D,2,0,logical,2.0
17,17,"The ratio between the perimeter and the breadth of a rectangle is 5 : 1. If the area of the rectangle is 216 sq. cm, what is the length of the rectangle?",16 cm,18 cm,24 cm,Data inadequate,None of these,Answer: Option B,0,0,logical,0.0
18,18,"The percentage increase in the area of a rectangle, if each of its sides is increased by 20% is:",40%,42%,44%,46%,,Answer: Option C,1,0,logical,1.0
19,19,"A rectangular park 60 m long and 40 m wide has two concrete crossroads running in the middle of the park and rest of the park has been used as a lawn. If the area of the lawn is 2109 sq. m, then what is the width of the road?",2.91 m,3 m,5.82 m,None of these,,Answer: Option B,2,0,logical,2.0
20,20,The diagonal of the floor of a rectangular closet is 7 feet. The shorter side of the closet is 4 feet. What is the area of the closet in square feet?,"5 1
4","13 1
2",27,37,,Answer: Option C,2,0,logical,2.0
21,21,"A towel, when bleached, was found to have lost 20% of its length and 10% of its breadth. The percentage of decrease in area is:",10%,10.08%,20%,28%,,Answer: Option D,2,0,logical,2.0
22,22,"A man walked diagonally across a square lot. Approximately, what was the percent saved by not walking along the edges?",20,24,30,33,,Answer: Option C,0,0,logical,0.0
23,23,The diagonal of a rectangle is 41 cm and its area is 20 sq. cm. The perimeter of the rectangle must be:,9 cm,18 cm,20 cm,41 cm,,Answer: Option B,1,0,logical,1.0
24,24,What is the least number of squares tiles required to pave the floor of a room 15 m 17 cm long and 9 m 2 cm broad?,814,820,840,844,,Answer: Option A,1,0,logical,1.0
25,25,"The difference between the length and breadth of a rectangle is 23 m. If its perimeter is 206 m, then its area is:",1520 m2,2420 m2,2480 m2,2520 m2,,Answer: Option D,1,0,logical,1.0
26,26,"The length of a rectangle is halved, while its breadth is tripled. What is the percentage change in area?",25% increase,50% increase,50% decrease,75% decrease,,Answer: Option B,2,0,logical,2.0
27,27,"The length of a rectangular plot is 20 metres more than its breadth. If the cost of fencing the plot @ 26.50 per metre is Rs. 5300, what is the length of the plot in metres?",40,50,120,Data inadequate,None of these,Answer: Option E,2,0,logical,2.0
28,28,"A rectangular field is to be fenced on three sides leaving a side of 20 feet uncovered. If the area of the field is 680 sq. feet, how many feet of fencing will be required?",34,40,68,88,,Answer: Option D,1,0,logical,1.0
29,29,"A tank is 25 m long, 12 m wide and 6 m deep. The cost of plastering its walls and bottom at 75 paise per sq. m, is:",Rs. 456,Rs. 458,Rs. 558,Rs. 568,,Answer: Option C,0,0,logical,0.0
30,30,"In the first 10 overs of a cricket game, the run rate was only 3.2. What should be the run rate in the remaining 40 overs to reach the target of 282 runs?",6.25,6.5,6.75,7,,Answer: Option A,2,0,logical,2.0
31,31,"A family consists of two grandparents, two parents and three grandchildren. The average age of the grandparents is 67 years, that of the parents is 35 years and that of the grandchildren is 6 years. What is the average age of the family?","28 4 years
7","31 5 years
7","32 1 years
7",None of these,,Answer: Option B,1,0,logical,1.0
32,32,"A grocer has a sale of Rs. 6435, Rs. 6927, Rs. 6855, Rs. 7230 and Rs. 6562 for 5 consecutive months. How much sale must he have in the sixth month so that he gets an average sale of Rs. 6500?",Rs. 4991,Rs. 5991,Rs. 6001,Rs. 6991,,Answer: Option A,2,0,logical,2.0
33,33,"The average of 20 numbers is zero. Of them, at the most, how many may be greater than zero?",0,1,10,19,,Answer: Option D,1,0,logical,1.0
34,34,The average weight of 8 person's increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg. What might be the weight of the new person?,76 kg,76.5 kg,85 kg,Data inadequate,None of these,Answer: Option C,1,0,logical,1.0
35,35,"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?",23 years,24 years,25 years,None of these,,Answer: Option A,2,0,logical,2.0
36,36,The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is Rs. 6250 and the average monthly income of P and R is Rs. 5200. The monthly income of P is:,3500,4000,4050,5000,,Answer: Option B,2,0,logical,2.0
37,37,"The average age of husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is:",35 years,40 years,50 years,None of these,,Answer: Option B,1,0,logical,1.0
38,38,"A car owner buys petrol at Rs.7.50, Rs. 8 and Rs. 8.50 per litre for three successive years. What approximately is the average cost per litre of petrol if he spends Rs. 4000 each year?",Rs. 7.98,Rs. 8,Rs. 8.50,Rs. 9,,Answer: Option A,2,0,logical,2.0
39,39,"In Arun's opinion, his weight is greater than 65 kg but less than 72 kg. His brother doest not agree with Arun and he thinks that Arun's weight is greater than 60 kg but less than 70 kg. His mother's view is that his weight cannot be greater than 68 kg. If all are them are correct in their estimation, what is the average of different probable weights of Arun?",67 kg.,68 kg.,69 kg.,Data inadequate,None of these,Answer: Option A,1,0,logical,1.0
40,40,"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is:",17 kg,20 kg,26 kg,31 kg,,Answer: Option D,2,0,logical,2.0
41,41,The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.,47.55 kg,48 kg,48.55 kg,49.25 kg,,Answer: Option C,1,0,logical,1.0
42,42,A library has an average of 510 visitors on Sundays and 240 on other days. The average number of visitors per day in a month of 30 days beginning with a Sunday is:,250,276,280,285,,Answer: Option D,0,0,logical,0.0
43,43,"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is:",53.33,54.68,55,None of these,,Answer: Option B,1,0,logical,1.0
44,44,A pupil's marks were wrongly entered as 83 instead of 63. Due to that the average marks for the class got increased by half (1/2). The number of pupils in the class is:,10,20,40,73,,Answer: Option C,0,0,logical,0.0
45,45,The banker's discount of a certain sum of money is Rs. 72 and the true discount on the same sum for the same time is Rs. 60. The sum due is:,Rs. 360,Rs. 432,Rs. 540,Rs. 1080,,Answer: Option A,0,0,logical,0.0
46,46,The certain worth of a certain sum due sometime hence is Rs. 1600 and the true discount is Rs. 160. The banker's gain is:,Rs. 20,Rs. 24,Rs. 16,Rs. 12,,Answer: Option C,0,0,logical,0.0
47,47,The present worth of a certain bill due sometime hence is Rs. 800 and the true discount is Rs. 36. The banker's discount is:,Rs. 37,Rs. 37.62,Rs. 34.38,Rs. 38.98,,Answer: Option B,1,0,logical,1.0
48,48,The banker's gain on a bill due 1 year hence at 12% per annum is Rs. 6. The true discount is:,Rs. 72,Rs. 36,Rs. 54,Rs. 50,,Answer: Option D,0,0,logical,0.0
49,49,"The banker's gain on a certain sum due 1 1 years hence is 3 of the banker's
2 25","5 1 %
5","9 1 %
11","8 1 %
8","6 1 %
6",,Answer: Option B,1,0,logical,1.0
50,50,discount. The rate percent is:,"5 1 %
5","9 1 %
11","8 1 %
8","6 1 %
6",,Answer: Option B,2,0,logical,2.0
51,51,The present worth of a sum due sometime hence is Rs. 576 and the banker's gain is Rs. 16. The true discount is:,Rs. 36,Rs. 72,Rs. 48,Rs. 96,,Answer: Option D,1,0,logical,1.0
52,52,The true discount on a bill of Rs. 540 is Rs. 90. The banker's discount is:,Rs. 60,Rs. 108,Rs. 110,Rs. 112,,Answer: Option B,1,0,logical,1.0
53,53,"The banker's discount on a certain sum due 2 years hence is 11 of the true discount.
10",11%,10%,5%,5.5%,,Answer: Option C,1,0,logical,1.0
54,54,The rate percent is:,11%,10%,5%,5.5%,,Answer: Option C,1,0,logical,1.0
55,55,"A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr, find the time taken by the boat to go 68 km downstream.",2 hours,3 hours,4 hours,5 hours,,Answer: Option C,2,0,logical,2.0
56,56,A man's speed with the current is 15 km/hr and the speed of the current is 2.5 km/hr. The man's speed against the current is:,8.5 km/hr,9 km/hr,10 km/hr,12.5 km/hr,,Answer: Option C,2,0,logical,2.0
57,57,"A boat running upstream takes 8 hours 48 minutes to cover a certain distance, while it takes 4 hours to cover the same distance running downstream. What is the ratio between the speed of the boat and speed of the water current respectively?",2 : 1,3 : 2,8 : 3,Cannot be determined,None of these,Answer: Option C,2,0,logical,2.0
58,58,"A motorboat, whose speed in 15 km/hr in still water goes 30 km downstream and comes back in a total of 4 hours 30 minutes. The speed of the stream (in km/hr) is:",4,5,6,10,,Answer: Option B,0,0,logical,0.0
59,59,"In one hour, a boat goes 11 km/hr along the stream and 5 km/hr against the stream. The speed of the boat in still water (in km/hr) is:",3 km/hr,5 km/hr,8 km/hr,9 km/hr,,Answer: Option C,0,0,logical,0.0
60,60,"A boat running downstream covers a distance of 16 km in 2 hours while for covering the same distance upstream, it takes 4 hours. What is the speed of the boat in still water?",4 km/hr,6 km/hr,8 km/hr,Data inadequate,,Answer: Option B,2,0,logical,2.0
61,61,The speed of a boat in still water in 15 km/hr and the rate of current is 3 km/hr. The distance travelled downstream in 12 minutes is:,1.2 km,1.8 km,2.4 km,3.6 km,,Answer: Option D,1,0,logical,1.0
62,62,"A boat takes 90 minutes less to travel 36 miles downstream than to travel the same distance upstream. If the speed of the boat in still water is 10 mph, the speed of the stream is:",2 mph,2.5 mph,3 mph,4 mph,,Answer: Option A,1,0,logical,1.0
63,63,"A man can row at 5 kmph in still water. If the velocity of current is 1 kmph and it takes him 1 hour to row to a place and come back, how far is the place?",2.4 km,2.5 km,3 km,3.6 km,,Answer: Option A,1,0,logical,1.0
64,64,"A boat covers a certain distance downstream in 1 hour, while it comes back in 1 hours. If the speed of the stream be 3 kmph, what is the speed of the boat in still water?",12 kmph,13 kmph,14 kmph,15 kmph,None of these,Answer: Option D,2,0,logical,2.0
65,65,A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?,40 minutes,1 hour,1 hr 15 min,1 hr 30 min,,Answer: Option C,1,0,logical,1.0
66,66,A man can row three-quarters of a kilometre against the stream in 11 minutes and down the stream in 7 minutes. The speed (in km/hr) of the man in still water is:,2,3,4,5,,Answer: Option D,2,0,logical,2.0
67,67,Speed of a boat in standing water is 9 kmph and the speed of the stream is 1.5 kmph. A man rows to a place at a distance of 105 km and comes back to the starting point. The total time taken by him is:,16 hours,18 hours,20 hours,24 hours,,Answer: Option D,0,0,logical,0.0
68,68,A man takes twice as long to row a distance against the stream as to row the same distance in favour of the stream. The ratio of the speed of the boat (in still water) and the stream is:,2 : 1,3 : 1,3 : 2,4 : 3,,Answer: Option B,0,0,logical,0.0
69,69,A man rows to a place 48 km distant and come back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:,1 km/hr,1.5 km/hr,2 km/hr,2.5 km/hr,,Answer: Option A,2,0,logical,2.0
70,70,"It was Sunday on Jan 1, 2006. What was the day of the week Jan 1, 2010?",Sunday,Saturday,Friday,Wednesday,,Answer: Option C,0,0,logical,0.0
71,71,"What was the day of the week on 28th May, 2006?",Thursday,Friday,Saturday,Sunday,,Answer: Option D,1,0,logical,1.0
72,72,"What was the day of the week on 17th June, 1998?",Monday,Tuesday,Wednesday,Thursday,,Answer: Option C,1,0,logical,1.0
73,73,"What will be the day of the week 15th August, 2010?",Sunday,Monday,Tuesday,Friday,,Answer: Option A,0,0,logical,0.0
74,74,"Today is Monday. After 61 days, it will be:",Wednesday,Saturday,Tuesday,Thursday,,Answer: Option B,0,0,logical,0.0
75,75,"If 6th March, 2005 is Monday, what was the day of the week on 6th March, 2004?",Sunday,Saturday,Tuesday,Wednesday,,Answer: Option A,2,0,logical,2.0
76,76,"On what dates of April, 2001 did Wednesday fall?","1st, 8th, 15th, 22nd, 29th","2nd, 9th, 16th, 23rd, 30th","3rd, 10th, 17th, 24th","4th, 11th, 18th, 25th",,Answer: Option D,1,0,logical,1.0
77,77,How many days are there in x weeks x days?,7x2,8x,14x,7,,Answer: Option B,0,0,logical,0.0
78,78,The last day of a century cannot be,Monday,Wednesday,Tuesday,Friday,,Answer: Option C,2,0,logical,2.0
79,79,"On 8th Feb, 2005 it was Tuesday. What was the day of the week on 8th Feb, 2004?",Tuesday,Monday,Sunday,Wednesday,,Answer: Option C,1,0,logical,1.0
80,80,The calendar for the year 2007 will be the same for the year:,2014,2016,2017,2018,,Answer: Option D,0,0,logical,0.0
81,81,Which of the following is not a leap year?,700,800,1200,2000,,Answer: Option A,1,0,logical,1.0
82,82,"On 8th Dec, 2007 Saturday falls. What day of the week was it on 8th Dec, 2006?",Sunday,Thursday,Tuesday,Friday,,Answer: Option D,2,0,logical,2.0
83,83,"January 1, 2008 is Tuesday. What day of the week lies on Jan 1, 2009?",Monday,Wednesday,Thursday,Sunday,,Answer: Option C,1,0,logical,1.0
84,84,"January 1, 2007 was Monday. What day of the week lies on Jan. 1, 2008?",Monday,Tuesday,Wednesday,Sunday,,Answer: Option B,2,0,logical,2.0
85,85,"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?",9,10,11,12,,Answer: Option D,1,0,logical,1.0
86,86,"If the cost of x metres of wire is d rupees, then what is the cost of y metres of wire at the same rate?","Rs. xy
d",Rs. (xd),Rs. (yd),"Rs. yd
x",,Answer: Option D,2,0,logical,2.0
87,87,"Running at the same constant rate, 6 identical machines can produce a total of 270 bottles per minute. At this rate, how many bottles could 10 such machines produce in 4 minutes?",648,1800,2700,10800,,Answer: Option B,2,0,logical,2.0
88,88,"A fort had provision of food for 150 men for 45 days. After 10 days, 25 men left the fort. The number of days for which the remaining food will last, is:","29 1
5","37 1
4",42,54,,Answer: Option C,0,0,logical,0.0
89,89,"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work?",10,13,14,15,,Answer: Option B,2,0,logical,2.0
90,90,"A man completes of a job in 10 days. At this rate, how many more days will it takes him to finish the job?",5,6,7,"7 1
2",,Answer: Option B,1,0,logical,1.0
91,91,"If a quarter kg of potato costs 60 paise, how many paise will 200 gm cost?",48 paise,54 paise,56 paise,72 paise,,Answer: Option A,2,0,logical,2.0
92,92,"In a dairy farm, 40 cows eat 40 bags of husk in 40 days. In how many days one cow will eat one bag of husk?",1,"1
40",40,80,,Answer: Option C,1,0,logical,1.0
93,93,"A wheel that has 6 cogs is meshed with a larger wheel of 14 cogs. When the smaller wheel has made 21 revolutions, then the number of revolutions mad by the larger wheel is:",4,9,12,49,,Answer: Option B,1,0,logical,1.0
94,94,"If 7 spiders make 7 webs in 7 days, then 1 spider will make 1 web in how many days?",1,"7
2",7,49,,Answer: Option C,2,0,logical,2.0
95,95,"A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of the building, which casts a shadow of length 28.75 m under similar conditions will be:",10 m,12.5 m,17.5 m,21.25 m,,Answer: Option B,0,0,logical,0.0
96,96,"In a camp, there is a meal for 120 men or 200 children. If 150 children have taken the meal, how many men will be catered to with remaining meal?",20,30,40,50,,Answer: Option B,2,0,logical,2.0
97,97,"An industrial loom weaves 0.128 metres of cloth every second. Approximately, how many seconds will it take for the loom to weave 25 metres of cloth?",178,195,204,488,,Answer: Option B,0,0,logical,0.0
98,98,36 men can complete a piece of work in 18 days. In how many days will 27 men complete the same work?,12,18,22,24,None of these,Answer: Option D,2,0,logical,2.0
99,99,"4 mat-weavers can weave 4 mats in 4 days. At the same rate, how many mats would be woven by 8 mat-weavers in 8 days?",4,8,12,16,,Answer: Option D,2,0,logical,2.0
100,100,An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,144°,150°,168°,180°,,Answer: Option D,1,0,logical,1.0
101,101,The reflex angle between the hands of a clock at 10.25 is:,180°,"192 1 °
2",195°,"197 1 °
2",,Answer: Option D,2,0,logical,2.0
102,102,"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:",145°,150°,155°,160°,,Answer: Option C,2,0,logical,2.0
103,103,"A watch which gains 5 seconds in 3 minutes was set right at 7 a.m. In the afternoon of the same day, when the watch indicated quarter past 4 o'clock, the true time is:","59 7 min. past 3
12",4 p.m.,"58 7 min. past 3
11","2 3 min. past 4
11",,Answer: Option B,0,0,logical,0.0
104,104,"How much does a watch lose per day, if its hands coincide every 64 minutes?","32 8 min.
11","36 5 min.
11",90 min.,96 min.,,Answer: Option A,1,0,logical,1.0
105,105,"At what time between 7 and 8 o'clock will the hands of a clock be in the same straight line but, not together?",5 min. past 7,"5 2 min. past 7
11","5 3 min. past 7
11","5 5 min. past 7
11",,Answer: Option D,1,0,logical,1.0
106,106,At what time between 5.30 and 6 will the hands of a clock be at right angles?,"43 5 min. past 5
11","43 7 min. past 5
11",40 min. past 5,45 min. past 5,,Answer: Option B,1,0,logical,1.0
107,107,"The angle between the minute hand and the hour hand of a clock when the time is 4.20, is:",0°,10°,5°,20°,,Answer: Option B,1,0,logical,1.0
108,108,At what angle the hands of a clock are inclined at 15 minutes past 5?,"58 1 °
2",64°,"67 1 °
2","72 1 °
2",,Answer: Option C,1,0,logical,1.0
109,109,"At 3:40, the hour hand and the minute hand of a clock form an angle of:",120°,125°,130°,135°,,Answer: Option C,0,0,logical,0.0
110,110,How many times are the hands of a clock at right angle in a day?,22,24,44,48,,Answer: Option C,1,0,logical,1.0
111,111,"The angle between the minute hand and the hour hand of a clock when the time is 8.30, is:",80°,75°,60°,105°,,Answer: Option B,0,0,logical,0.0
112,112,"How many times in a day, are the hands of a clock in straight line but opposite in direction?",20,22,24,48,,Answer: Option B,0,0,logical,0.0
113,113,At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?,45 min. past 4,40 min. past 4,"50 4 min. past 4
11","54 6 min. past 4
11",,Answer: Option D,1,0,logical,1.0
114,114,At what time between 9 and 10 o'clock will the hands of a watch be together?,45 min. past 9,50 min. past 9,"49 1 min. past 9
11","48 2 min. past 9
11",,Answer: Option C,1,0,logical,1.0
115,115,"At what time, in minutes, between 3 o'clock and 4 o'clock, both the needles will coincide each other?","5 1 ""
11","12 4 ""
11","13 4 ""
11","16 4 ""
11",,Answer: Option D,2,0,logical,2.0
116,116,How many times do the hands of a clock coincide in a day?,20,21,22,24,,Answer: Option C,0,0,logical,0.0
117,117,"How many times in a day, the hands of a clock are straight?",22,24,44,48,,Answer: Option C,0,0,logical,0.0
118,118,A watch which gains uniformly is 2 minutes low at noon on Monday and is 4 min. 48 sec fast at 2 p.m. on the following Monday. When was it correct?,2 p.m. on Tuesday,2 p.m. on Wednesday,3 p.m. on Thursday,1 p.m. on Friday,,Answer: Option B,1,0,logical,1.0
119,119,"A bank offers 5% compound interest calculated on half-yearly basis. A customer deposits Rs. 1600 each on 1st January and 1st July of a year. At the end of the year, the amount he would have gained by way of interest is:",Rs. 120,Rs. 121,Rs. 122,Rs. 123,,Answer: Option B,1,0,logical,1.0
120,120,The difference between simple and compound interests compounded annually on a certain sum of money for 2 years at 4% per annum is Re. 1. The sum (in Rs.) is:,625,630,640,650,,Answer: Option A,1,0,logical,1.0
121,121,"There is 60% increase in an amount in 6 years at simple interest. What will be the compound interest of Rs. 12,000 after 3 years at the same rate?",Rs. 2160,Rs. 3120,Rs. 3972,Rs. 6240,None of these,Answer: Option C,1,0,logical,1.0
122,122,What is the difference between the compound interests on Rs. 5000 for 1 years at 4% per annum compounded yearly and half-yearly?,Rs. 2.04,Rs. 3.06,Rs. 4.80,Rs. 8.30,,Answer: Option A,2,0,logical,2.0
123,123,"The compound interest on Rs. 30,000 at 7% per annum is Rs. 4347. The period (in years) is:",2,"2 1
2",3,4,,Answer: Option A,0,0,logical,0.0
124,124,"What will be the compound interest on a sum of Rs. 25,000 after 3 years at the rate of 12 p.c.p.a.?",Rs. 9000.30,Rs. 9720,Rs. 10123.20,Rs. 10483.20,None of these,Answer: Option C,2,0,logical,2.0
125,125,At what rate of compound interest per annum will a sum of Rs. 1200 become Rs. 1348.32 in 2 years?,6%,6.5%,7%,7.5%,,Answer: Option A,2,0,logical,2.0
126,126,The least number of complete years in which a sum of money put out at 20% compound interest will be more than doubled is:,3,4,5,6,,Answer: Option B,2,0,logical,2.0
127,127,Albert invested an amount of Rs. 8000 in a fixed deposit scheme for 2 years at compound interest rate 5 p.c.p.a. How much amount will Albert get on maturity of the fixed deposit?,Rs. 8600,Rs. 8620,Rs. 8820,None of these,,Answer: Option C,1,0,logical,1.0
128,128,The effective annual rate of interest corresponding to a nominal rate of 6% per annum payable half-yearly is:,6.06%,6.07%,6.08%,6.09%,,Answer: Option D,0,0,logical,0.0
129,129,Simple interest on a certain sum of money for 3 years at 8% per annum is half the compound interest on Rs. 4000 for 2 years at 10% per annum. The sum placed on simple interest is:,Rs. 1550,Rs. 1650,Rs. 1750,Rs. 2000,,Answer: Option C,1,0,logical,1.0
130,130,"If the simple interest on a sum of money for 2 years at 5% per annum is Rs. 50, what is the compound interest on the same at the same rate and for the same time?",Rs. 51.25,Rs. 52,Rs. 54.25,Rs. 60,,Answer: Option A,0,0,logical,0.0
131,131,The difference between simple interest and compound on Rs. 1200 for one year at 10% per annum reckoned half-yearly is:,Rs. 2.50,Rs. 3,Rs. 3.75,Rs. 4,None of these,Answer: Option B,0,0,logical,0.0
132,132,"The difference between compound interest and simple interest on an amount of Rs. 15,000 for 2 years is Rs. 96. What is the rate of interest per annum?",8,10,12,Cannot be determined,None of these,Answer: Option A,2,0,logical,2.0
133,133,The compound interest on a certain sum for 2 years at 10% per annum is Rs. 525. The simple interest on the same sum for double the time at half the rate percent per annum is:,Rs. 400,Rs. 500,Rs. 600,Rs. 800,,Answer: Option B,2,0,logical,2.0
134,134,"Two ships are sailing in the sea on the two sides of a lighthouse. The angle of elevation of the top of the lighthouse is observed from the ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is:",173 m,200 m,273 m,300 m,,Answer: Option C,1,0,logical,1.0
135,135,"A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30° with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60°. What is the distance between the base of the tower and the point P?",43 units,8 units,12 units,Data inadequate,None of these,Answer: Option D,2,0,logical,2.0
136,136,The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is:,2.3 m,4.6 m,7.8 m,9.2 m,,Answer: Option D,2,0,logical,2.0
137,137,An observer 1.6 m tall is 203 away from a tower. The angle of elevation from his eye to the top of the tower is 30°. The heights of the tower is:,21.6 m,23.2 m,24.72 m,None of these,,Answer: Option A,1,0,logical,1.0
138,138,"From a point P on a level ground, the angle of elevation of the top tower is 30°. If the tower is 100 m high, the distance of point P from the foot of the tower is:",149 m,156 m,173 m,200 m,,Answer: Option C,2,0,logical,2.0
139,139,"The angle of elevation of the sun, when the length of the shadow of a tree 3 times the height of the tree, is:",30°,45°,60°,90°,,Answer: Option A,2,0,logical,2.0
140,140,"Evaluate : (2.39)2 - (1.61)2
2.39 - 1.61",2,4,6,8,,Answer: Option B,2,0,logical,2.0
141,141,What decimal of an hour is a second ?,0.0025,0.0256,0.00027,0.000126,,Answer: Option C,1,0,logical,1.0
142,142,"The value of (0.96)3 - (0.1)3 is:
(0.96)2 + 0.096 + (0.1)2",0.86,0.95,0.97,1.06,,Answer: Option A,0,0,logical,0.0
143,143,"The value of 0.1 x 0.1 x 0.1 + 0.02 x 0.02 x 0.02 is:
0.2 x 0.2 x 0.2 + 0.04 x 0.04 x 0.04",0.0125,0.125,0.25,0.5,,Answer: Option B,2,0,logical,2.0
144,144,"If 2994 ÷ 14.5 = 172, then 29.94 ÷ 1.45 = ?",0.172,1.72,17.2,172,,Answer: Option C,2,0,logical,2.0
145,145,"When 0.232323..... is converted into a fraction, then the result is:","1
5","2
9","23
99","23
100",,Answer: Option C,1,0,logical,1.0
146,146,".009 = .01
?",0.0009,0.09,0.9,9,,Answer: Option C,1,0,logical,1.0
