,cid,qno,type,qid,diff_level,res_time,correctness,next_diff
99,3,9,0,33,medium,37,0,easy
100,3,0,1,274,medium,50,1,medium
101,3,1,1,368,medium,36,0,easy
102,3,2,1,245,easy,18,1,medium
103,3,3,1,215,medium,60,0,easy
104,3,4,1,229,easy,59,0,easy
105,3,5,1,340,easy,13,0,easy
106,3,6,1,362,easy,8,0,easy
107,3,7,1,318,easy,51,1,easy
108,3,8,1,430,easy,43,1,easy
109,3,9,1,423,easy,50,1,easy
110,3,0,2,499,medium,26,0,easy
111,3,1,2,524,easy,50,0,easy
112,3,2,2,523,easy,41,0,easy
113,3,3,2,458,easy,32,0,easy
114,3,4,2,435,easy,25,0,easy
115,3,5,2,633,easy,14,1,medium
116,3,6,2,445,medium,5,1,hard
117,3,7,2,629,hard,57,1,hard
118,3,8,2,564,hard,13,1,hard
119,3,9,2,488,hard,45,1,hard
120,4,0,0,72,medium,17,1,hard
121,4,1,0,101,hard,52,0,medium
122,4,2,0,23,medium,32,1,medium
123,4,3,0,173,medium,10,0,medium
124,4,4,0,100,medium,20,0,medium
125,4,5,0,52,medium,9,1,hard
126,4,6,0,160,hard,7,1,hard
127,4,7,0,26,hard,33,0,medium
128,4,8,0,81,medium,12,1,hard
129,4,9,0,0,hard,30,1,hard
130,4,0,1,247,medium,24,1,medium
131,4,1,1,234,medium,56,0,easy
132,4,2,1,276,easy,17,0,easy
133,4,3,1,219,easy,12,1,medium
134,4,4,1,297,medium,12,0,medium
135,4,5,1,401,medium,42,1,medium
136,4,6,1,259,medium,9,0,medium
137,4,7,1,351,medium,59,1,medium
138,4,8,1,272,medium,27,0,easy
139,4,9,1,365,easy,19,1,medium
140,4,0,2,460,medium,16,0,medium
141,4,1,2,482,medium,40,0,easy
142,4,2,2,627,easy,48,1,easy
143,4,3,2,468,easy,35,1,easy
144,4,4,2,635,easy,26,0,easy
145,4,5,2,522,easy,30,1,easy
146,4,6,2,543,easy,43,1,easy
147,4,7,2,448,easy,39,0,easy
148,4,8,2,606,easy,21,1,easy
149,4,9,2,457,easy,27,0,easy
150,5,0,0,24,medium,47,0,easy
151,5,1,0,9,easy,11,0,easy
152,5,2,0,68,easy,58,1,easy
153,5,3,0,74,easy,43,0,easy
154,5,4,0,195,easy,53,0,easy
155,5,5,0,196,easy,53,1,easy
156,5,6,0,112,easy,28,1,easy
157,5,7,0,130,easy,58,1,easy
158,5,8,0,211,easy,27,1,easy
159,5,9,0,45,easy,38,1,easy
160,5,0,1,268,medium,50,1,medium
161,5,1,1,294,medium,9,0,medium
162,5,2,1,337,medium,26,1,medium
163,5,3,1,416,medium,8,1,hard
164,5,4,1,262,hard,58,0,medium
165,5,5,1,259,medium,18,0,medium
166,5,6,1,314,medium,17,1,hard
167,5,7,1,308,hard,13,0,medium
168,5,8,1,353,medium,8,0,medium
169,5,9,1,382,medium,59,0,easy
170,5,0,2,483,medium,36,0,easy
171,5,1,2,519,easy,41,1,easy
172,5,2,2,616,easy,23,0,easy
173,5,3,2,543,easy,12,0,easy
174,5,4,2,575,easy,16,1,medium
175,5,5,2,647,medium,51,0,easy
176,5,6,2,597,easy,16,1,medium
177,5,7,2,445,medium,40,0,easy
178,5,8,2,625,easy,39,1,easy
179,5,9,2,486,easy,27,0,easy
180,6,0,0,158,medium,55,1,medium
181,6,1,0,51,medium,44,0,easy
182,6,2,0,123,easy,36,1,easy
183,6,3,0,116,easy,14,1,medium
184,6,4,0,90,medium,5,0,medium
185,6,5,0,207,medium,57,1,medium
186,6,6,0,65,medium,56,1,medium
187,6,7,0,107,medium,40,0,easy
188,6,8,0,128,easy,19,0,easy
189,6,9,0,196,easy,43,1,easy
190,6,0,1,421,medium,22,0,easy
191,6,1,1,338,easy,8,1,medium
192,6,2,1,299,medium,45,0,easy
193,6,3,1,264,easy,7,1,medium
194,6,4,1,284,medium,45,0,easy
195,6,5,1,414,easy,35,1,easy
196,6,6,1,304,easy,31,1,easy
197,6,7,1,374,easy,51,0,easy
198,6,8,1,241,easy,40,1,easy
199,6,9,1,424,easy,21,1,easy
200,6,0,2,582,medium,6,0,medium
201,6,1,2,460,medium,40,0,easy
202,6,2,2,630,easy,33,1,easy
203,6,3,2,495,easy,10,0,easy
204,6,4,2,575,easy,41,1,easy
205,6,5,2,543,easy,5,1,medium
206,6,6,2,483,medium,45,1,medium
207,6,7,2,576,medium,36,1,medium
208,6,8,2,588,medium,37,0,easy
209,6,9,2,610,easy,23,1,easy
210,7,0,0,188,medium,35,0,easy
211,7,1,0,68,easy,16,0,easy
212,7,2,0,147,easy,27,0,easy
213,7,3,0,203,easy,56,1,easy
214,7,4,0,73,easy,51,0,easy
215,7,5,0,195,easy,23,1,easy
216,7,6,0,95,easy,13,1,medium
217,7,7,0,62,medium,24,1,medium
218,7,8,0,165,medium,37,0,easy
219,7,9,0,88,easy,52,1,easy
220,7,0,1,277,medium,44,0,easy
221,7,1,1,373,easy,11,0,easy
222,7,2,1,399,easy,38,1,easy
223,7,3,1,237,easy,8,0,easy
224,7,4,1,360,easy,29,1,easy
225,7,5,1,383,easy,17,0,easy
226,7,6,1,300,easy,57,0,easy
227,7,7,1,236,easy,5,0,easy
228,7,8,1,243,easy,42,1,easy
229,7,9,1,241,easy,17,0,easy
230,7,0,2,578,medium,15,1,hard
231,7,1,2,608,hard,31,0,medium
232,7,2,2,649,medium,60,1,medium
233,7,3,2,618,medium,39,0,easy
234,7,4,2,633,easy,33,1,easy
235,7,5,2,625,easy,8,0,easy
236,7,6,2,538,easy,33,1,easy
237,7,7,2,541,easy,24,0,easy
238,7,8,2,640,easy,17,1,medium
239,7,9,2,504,medium,6,0,medium
240,8,0,0,83,medium,45,0,easy
241,8,1,0,183,easy,15,1,medium
242,8,2,0,134,medium,51,1,medium
243,8,3,0,49,medium,7,1,hard
244,8,4,0,94,hard,47,1,hard
245,8,5,0,21,hard,18,1,hard
246,8,6,0,32,hard,55,0,medium
247,8,7,0,63,medium,33,1,medium
248,8,8,0,145,medium,42,1,medium
249,8,9,0,24,medium,15,1,hard
250,8,0,1,306,medium,19,1,hard
251,8,1,1,305,hard,53,1,hard
252,8,2,1,235,hard,57,0,medium
253,8,3,1,220,medium,50,1,medium
254,8,4,1,281,medium,10,0,medium
255,8,5,1,410,medium,56,1,medium
256,8,6,1,416,medium,16,1,hard
257,8,7,1,427,hard,28,1,hard
258,8,8,1,308,hard,55,0,medium
259,8,9,1,369,medium,44,1,medium
260,8,0,2,618,medium,27,0,easy
261,8,1,2,466,easy,59,1,easy
262,8,2,2,441,easy,45,0,easy
263,8,3,2,486,easy,36,1,easy
264,8,4,2,622,easy,36,1,easy
265,8,5,2,506,easy,57,0,easy
266,8,6,2,498,easy,60,1,easy
267,8,7,2,572,easy,50,0,easy
268,8,8,2,464,easy,24,1,easy
269,8,9,2,541,easy,20,1,medium
270,9,0,0,33,medium,39,0,easy
271,9,1,0,58,easy,46,1,easy
272,9,2,0,213,easy,32,1,easy
273,9,3,0,201,easy,53,0,easy
274,9,4,0,203,easy,37,1,easy
275,9,5,0,192,easy,25,1,easy
276,9,6,0,209,easy,33,1,easy
277,9,7,0,159,easy,45,1,easy
278,9,8,0,189,easy,48,0,easy
279,9,9,0,6,easy,9,1,medium
280,9,0,1,272,medium,28,1,medium
281,9,1,1,224,medium,26,0,easy
282,9,2,1,385,easy,37,1,easy
283,9,3,1,265,easy,47,1,easy
284,9,4,1,338,easy,41,1,easy
285,9,5,1,423,easy,56,0,easy
286,9,6,1,365,easy,20,1,medium
287,9,7,1,294,medium,21,1,medium
288,9,8,1,274,medium,24,0,easy
289,9,9,1,379,easy,7,0,easy
290,9,0,2,449,medium,28,0,easy
291,9,1,2,506,easy,46,1,easy
292,9,2,2,625,easy,31,0,easy
293,9,3,2,605,easy,51,1,easy
294,9,4,2,437,easy,33,1,easy
295,9,5,2,464,easy,19,0,easy
296,9,6,2,572,easy,23,0,easy
297,9,7,2,516,easy,26,1,easy
298,9,8,2,611,easy,5,0,easy
299,9,9,2,486,easy,26,1,easy
300,10,0,0,76,medium,35,1,medium
301,10,1,0,24,medium,26,0,easy
302,10,2,0,178,easy,9,1,medium
303,10,3,0,62,medium,18,0,medium
304,10,4,0,186,medium,18,0,medium
305,10,5,0,158,medium,31,0,easy
306,10,6,0,196,easy,22,1,easy
307,10,7,0,44,easy,59,0,easy
308,10,8,0,209,easy,58,0,easy
309,10,9,0,80,easy,45,0,easy
310,10,0,1,376,medium,59,0,easy
311,10,1,1,286,easy,17,0,easy
312,10,2,1,374,easy,8,1,medium
313,10,3,1,330,medium,41,1,medium
314,10,4,1,225,medium,55,1,medium
315,10,5,1,403,medium,38,1,medium
316,10,6,1,413,medium,17,1,hard
317,10,7,1,267,hard,28,0,medium
318,10,8,1,351,medium,29,1,medium
319,10,9,1,401,medium,49,0,easy
320,10,0,2,612,medium,12,1,hard
321,10,1,2,629,hard,28,1,hard
322,10,2,2,550,hard,38,0,medium
323,10,3,2,478,medium,47,1,medium
324,10,4,2,520,medium,24,1,medium
325,10,5,2,581,medium,32,0,easy
326,10,6,2,503,easy,51,1,easy
327,10,7,2,441,easy,9,1,medium
328,10,8,2,578,medium,26,1,medium
329,10,9,2,502,medium,40,1,medium
330,11,0,0,1,medium,44,1,medium
331,11,1,0,61,medium,42,1,medium
332,11,2,0,179,medium,35,0,easy
333,11,3,0,201,easy,48,1,easy
334,11,4,0,22,easy,21,1,easy
335,11,5,0,178,easy,14,1,medium
336,11,6,0,65,medium,50,0,easy
337,11,7,0,212,easy,24,1,easy
338,11,8,0,97,easy,59,0,easy
339,11,9,0,162,easy,59,0,easy
340,11,0,1,224,medium,29,1,medium
341,11,1,1,337,medium,14,0,medium
342,11,2,1,351,medium,32,0,easy
343,11,3,1,323,easy,37,1,easy
344,11,4,1,366,easy,41,1,easy
345,11,5,1,365,easy,21,1,easy
346,11,6,1,392,easy,17,1,medium
347,11,7,1,297,medium,23,0,easy
348,11,8,1,370,easy,7,0,easy
349,11,9,1,236,easy,39,0,easy
350,11,0,2,619,medium,44,0,easy
351,11,1,2,633,easy,34,1,easy
352,11,2,2,495,easy,41,0,easy
353,11,3,2,437,easy,39,1,easy
354,11,4,2,452,easy,16,0,easy
355,11,5,2,477,easy,15,1,medium
356,11,6,2,618,medium,16,0,medium
357,11,7,2,650,medium,31,1,medium
358,11,8,2,439,medium,27,0,easy
359,11,9,2,444,easy,45,1,easy
360,12,0,0,81,medium,59,1,medium
361,12,1,0,127,medium,23,0,easy
362,12,2,0,88,easy,18,0,easy
363,12,3,0,46,easy,43,1,easy
364,12,4,0,147,easy,38,0,easy
365,12,5,0,17,easy,22,1,easy
366,12,6,0,206,easy,53,1,easy
367,12,7,0,11,easy,39,0,easy
368,12,8,0,112,easy,16,1,medium
369,12,9,0,79,medium,17,0,medium
370,12,0,1,376,medium,60,1,medium
371,12,1,1,215,medium,35,0,easy
372,12,2,1,276,easy,8,1,medium
373,12,3,1,268,medium,19,0,medium
374,12,4,1,410,medium,20,0,medium
375,12,5,1,429,medium,10,1,hard
376,12,6,1,290,hard,40,0,medium
377,12,7,1,281,medium,11,0,medium
378,12,8,1,224,medium,51,1,medium
379,12,9,1,299,medium,60,1,medium
380,12,0,2,445,medium,59,1,medium
381,12,1,2,642,medium,26,1,medium
382,12,2,2,442,medium,13,1,hard
383,12,3,2,550,hard,43,1,hard
384,12,4,2,473,hard,50,0,medium
385,12,5,2,604,medium,48,1,medium
386,12,6,2,539,medium,5,0,medium
387,12,7,2,542,medium,26,0,easy
388,12,8,2,437,easy,25,0,easy
389,12,9,2,519,easy,48,0,easy
390,13,0,0,165,medium,43,1,medium
391,13,1,0,205,medium,41,0,easy
392,13,2,0,80,easy,40,1,easy
393,13,3,0,48,easy,11,1,medium
394,13,4,0,81,medium,56,1,medium
395,13,5,0,187,medium,5,1,hard
396,13,6,0,143,hard,35,1,hard
397,13,7,0,155,hard,42,1,hard
398,13,8,0,57,hard,22,0,medium
399,13,9,0,83,medium,19,0,medium
400,13,0,1,214,medium,29,0,easy
401,13,1,1,412,easy,13,1,medium
402,13,2,1,369,medium,56,0,easy
403,13,3,1,335,easy,5,0,easy
404,13,4,1,283,easy,31,1,easy
405,13,5,1,372,easy,7,1,medium
406,13,6,1,413,medium,45,1,medium
407,13,7,1,259,medium,33,0,easy
408,13,8,1,216,easy,36,0,easy
409,13,9,1,328,easy,57,0,easy
410,13,0,2,636,medium,37,1,medium
411,13,1,2,578,medium,45,0,easy
412,13,2,2,625,easy,12,0,easy
413,13,3,2,495,easy,9,0,easy
414,13,4,2,538,easy,43,0,easy
415,13,5,2,506,easy,30,0,easy
416,13,6,2,457,easy,26,0,easy
417,13,7,2,438,easy,26,0,easy
418,13,8,2,472,easy,17,0,easy
419,13,9,2,603,easy,11,1,medium
420,14,0,0,158,medium,11,0,medium
421,14,1,0,90,medium,57,1,medium
422,14,2,0,207,medium,44,0,easy
423,14,3,0,209,easy,16,0,easy
424,14,4,0,168,easy,40,1,easy
425,14,5,0,109,easy,52,0,easy
426,14,6,0,203,easy,53,0,easy
427,14,7,0,151,easy,27,1,easy
428,14,8,0,77,easy,20,1,medium
429,14,9,0,118,medium,52,1,medium
430,14,0,1,329,medium,9,0,medium
431,14,1,1,215,medium,52,1,medium
432,14,2,1,347,medium,19,1,hard
433,14,3,1,427,hard,23,1,hard
434,14,4,1,315,hard,39,0,medium
435,14,5,1,402,medium,11,0,medium
436,14,6,1,250,medium,37,1,medium
437,14,7,1,258,medium,32,0,easy
438,14,8,1,300,easy,50,1,easy
439,14,9,1,264,easy,19,1,medium
440,14,0,2,501,medium,5,0,medium
441,14,1,2,576,medium,28,1,medium
442,14,2,2,505,medium,25,0,easy
443,14,3,2,616,easy,47,0,easy
444,14,4,2,466,easy,37,0,easy
445,14,5,2,519,easy,5,1,medium
446,14,6,2,549,medium,8,0,medium
447,14,7,2,637,medium,10,0,medium
448,14,8,2,531,medium,42,1,medium
449,14,9,2,648,medium,33,1,medium
450,15,0,0,149,medium,30,1,medium
451,15,1,0,39,medium,11,0,medium
452,15,2,0,207,medium,40,1,medium
453,15,3,0,43,medium,28,1,medium
454,15,4,0,79,medium,25,1,medium
455,15,5,0,24,medium,33,0,easy
456,15,6,0,58,easy,41,1,easy
457,15,7,0,45,easy,28,1,easy
458,15,8,0,192,easy,16,0,easy
459,15,9,0,17,easy,54,1,easy
460,15,0,1,380,medium,39,0,easy
461,15,1,1,237,easy,30,1,easy
462,15,2,1,360,easy,5,0,easy
463,15,3,1,282,easy,38,1,easy
464,15,4,1,323,easy,42,1,easy
465,15,5,1,243,easy,33,0,easy
466,15,6,1,393,easy,14,1,medium
467,15,7,1,384,medium,13,0,medium
468,15,8,1,401,medium,50,0,easy
469,15,9,1,372,easy,21,0,easy
470,15,0,2,590,medium,58,1,medium
471,15,1,2,434,medium,24,0,easy
472,15,2,2,454,easy,29,1,easy
473,15,3,2,464,easy,31,0,easy
474,15,4,2,506,easy,15,0,easy
475,15,5,2,529,easy,53,0,easy
476,15,6,2,625,easy,10,1,medium
477,15,7,2,528,medium,48,0,easy
478,15,8,2,634,easy,56,0,easy
479,15,9,2,635,easy,6,1,medium
480,16,0,0,120,medium,12,0,medium
481,16,1,0,210,medium,40,1,medium
482,16,2,0,188,medium,28,1,medium
483,16,3,0,92,medium,31,1,medium
484,16,4,0,104,medium,58,1,medium
485,16,5,0,1,medium,59,1,medium
486,16,6,0,110,medium,45,1,medium
487,16,7,0,52,medium,16,0,medium
488,16,8,0,119,medium,41,0,easy
489,16,9,0,70,easy,54,1,easy
490,16,0,1,299,medium,40,1,medium
491,16,1,1,413,medium,56,1,medium
492,16,2,1,381,medium,51,1,medium
493,16,3,1,353,medium,36,0,easy
494,16,4,1,321,easy,49,0,easy
495,16,5,1,254,easy,7,1,medium
496,16,6,1,220,medium,28,0,easy
497,16,7,1,252,easy,16,1,medium
498,16,8,1,376,medium,42,0,easy
499,16,9,1,282,easy,59,0,easy
500,16,0,2,588,medium,14,0,medium
501,16,1,2,637,medium,31,0,easy
502,16,2,2,432,easy,60,0,easy
503,16,3,2,627,easy,60,1,easy
504,16,4,2,519,easy,47,1,easy
505,16,5,2,605,easy,21,0,easy
506,16,6,2,448,easy,12,1,medium
507,16,7,2,493,medium,24,0,easy
508,16,8,2,435,easy,43,1,easy
509,16,9,2,634,easy,13,0,easy
510,17,0,0,24,medium,17,0,medium
511,17,1,0,113,medium,8,1,hard
512,17,2,0,125,hard,5,0,medium
513,17,3,0,175,medium,55,1,medium
514,17,4,0,53,medium,30,0,easy
515,17,5,0,111,easy,10,0,easy
516,17,6,0,95,easy,56,1,easy
517,17,7,0,201,easy,56,1,easy
518,17,8,0,10,easy,52,1,easy
519,17,9,0,29,easy,56,1,easy
520,17,0,1,409,medium,48,1,medium
521,17,1,1,380,medium,38,0,easy
522,17,2,1,304,easy,35,0,easy
523,17,3,1,243,easy,28,1,easy
524,17,4,1,286,easy,28,0,easy
525,17,5,1,229,easy,36,1,easy
526,17,6,1,412,easy,28,0,easy
527,17,7,1,423,easy,58,0,easy
528,17,8,1,237,easy,9,1,medium
529,17,9,1,347,medium,58,1,medium
530,17,0,2,450,medium,41,1,medium
531,17,1,2,478,medium,35,0,easy
532,17,2,2,615,easy,49,0,easy
533,17,3,2,551,easy,20,0,easy
534,17,4,2,537,easy,45,1,easy
535,17,5,2,521,easy,35,0,easy
536,17,6,2,463,easy,27,1,easy
537,17,7,2,535,easy,30,1,easy
538,17,8,2,586,easy,53,0,easy
539,17,9,2,519,easy,11,1,medium
540,18,0,0,137,medium,33,1,medium
541,18,1,0,188,medium,24,1,medium
542,18,2,0,121,medium,5,1,hard
543,18,3,0,161,hard,22,0,medium
544,18,4,0,145,medium,29,1,medium
545,18,5,0,83,medium,25,0,easy
546,18,6,0,97,easy,28,1,easy
547,18,7,0,67,easy,7,1,medium
548,18,8,0,114,medium,43,1,medium
549,18,9,0,150,medium,57,1,medium
550,18,0,1,322,medium,24,0,easy
551,18,1,1,430,easy,27,0,easy
552,18,2,1,318,easy,15,1,medium
553,18,3,1,376,medium,17,0,medium
554,18,4,1,284,medium,28,1,medium
555,18,5,1,301,medium,43,1,medium
556,18,6,1,299,medium,13,0,medium
557,18,7,1,272,medium,15,1,hard
558,18,8,1,320,hard,43,0,medium
559,18,9,1,406,medium,20,1,hard
560,18,0,2,578,medium,48,0,easy
561,18,1,2,438,easy,41,0,easy
562,18,2,2,472,easy,54,1,easy
563,18,3,2,616,easy,6,1,medium
564,18,4,2,548,medium,32,1,medium
565,18,5,2,431,medium,37,1,medium
566,18,6,2,439,medium,41,0,easy
567,18,7,2,524,easy,55,1,easy
568,18,8,2,490,easy,30,1,easy
569,18,9,2,514,easy,59,0,easy
570,19,0,0,81,medium,49,0,easy
571,19,1,0,147,easy,16,1,medium
572,19,2,0,187,medium,49,0,easy
573,19,3,0,131,easy,9,1,medium
574,19,4,0,165,medium,27,1,medium
575,19,5,0,127,medium,58,0,easy
576,19,6,0,117,easy,60,0,easy
577,19,7,0,109,easy,18,0,easy
578,19,8,0,162,easy,26,1,easy
579,19,9,0,189,easy,54,0,easy
580,19,0,1,347,medium,36,0,easy
581,19,1,1,360,easy,51,0,easy
582,19,2,1,219,easy,31,1,easy
583,19,3,1,365,easy,21,1,easy
584,19,4,1,340,easy,51,0,easy
585,19,5,1,379,easy,38,1,easy
586,19,6,1,338,easy,48,1,easy
587,19,7,1,289,easy,6,0,easy
588,19,8,1,424,easy,59,0,easy
589,19,9,1,372,easy,21,1,easy
590,19,0,2,650,medium,11,0,medium
591,19,1,2,501,medium,50,0,easy
592,19,2,2,547,easy,29,0,easy
593,19,3,2,572,easy,26,1,easy
594,19,4,2,472,easy,15,1,medium
595,19,5,2,469,medium,25,0,easy
596,19,6,2,529,easy,33,0,easy
597,19,7,2,640,easy,56,0,easy
598,19,8,2,527,easy,51,1,easy
599,19,9,2,627,easy,14,1,medium
600,20,0,0,175,medium,53,1,medium
601,20,1,0,110,medium,60,0,easy
602,20,2,0,196,easy,24,0,easy
603,20,3,0,142,easy,12,1,medium
604,20,4,0,93,medium,34,0,easy
605,20,5,0,44,easy,16,0,easy
606,20,6,0,10,easy,37,1,easy
607,20,7,0,189,easy,23,1,easy
608,20,8,0,169,easy,23,0,easy
609,20,9,0,74,easy,44,0,easy
610,20,0,1,258,medium,18,0,medium
611,20,1,1,268,medium,53,1,medium
612,20,2,1,259,medium,38,0,easy
613,20,3,1,346,easy,13,1,medium
614,20,4,1,426,medium,45,1,medium
615,20,5,1,247,medium,34,0,easy
616,20,6,1,318,easy,40,1,easy
617,20,7,1,217,easy,40,0,easy
618,20,8,1,430,easy,31,1,easy
619,20,9,1,366,easy,27,1,easy
620,20,0,2,576,medium,59,0,easy
621,20,1,2,524,easy,56,0,easy
622,20,2,2,616,easy,35,0,easy
623,20,3,2,633,easy,55,1,easy
624,20,4,2,630,easy,24,1,easy
625,20,5,2,537,easy,15,1,medium
626,20,6,2,569,medium,21,1,medium
627,20,7,2,502,medium,16,1,hard
628,20,8,2,594,hard,54,0,medium
629,20,9,2,460,medium,47,0,easy
630,21,0,0,106,medium,38,1,medium
631,21,1,0,118,medium,19,1,hard
632,21,2,0,94,hard,31,1,hard
633,21,3,0,75,hard,33,0,medium
634,21,4,0,61,medium,56,1,medium
635,21,5,0,180,medium,25,0,easy
636,21,6,0,185,easy,19,0,easy
637,21,7,0,193,easy,31,0,easy
638,21,8,0,6,easy,53,0,easy
639,21,9,0,9,easy,44,0,easy
640,21,0,1,268,medium,26,0,easy
641,21,1,1,283,easy,37,0,easy
642,21,2,1,318,easy,13,0,easy
643,21,3,1,265,easy,17,1,medium
644,21,4,1,380,medium,35,1,medium
645,21,5,1,382,medium,43,1,medium
646,21,6,1,429,medium,59,1,medium
647,21,7,1,224,medium,25,0,easy
648,21,8,1,394,easy,49,1,easy
649,21,9,1,372,easy,39,0,easy
650,21,0,2,648,medium,14,1,hard
651,21,1,2,515,hard,17,1,hard
652,21,2,2,481,hard,60,1,hard
653,21,3,2,530,hard,30,0,medium
654,21,4,2,571,medium,13,1,hard
655,21,5,2,579,hard,45,0,medium
656,21,6,2,497,medium,44,1,medium
657,21,7,2,539,medium,23,0,easy
658,21,8,2,495,easy,10,1,medium
659,21,9,2,446,medium,23,0,easy
660,22,0,0,113,medium,52,1,medium
661,22,1,0,186,medium,9,1,hard
662,22,2,0,32,hard,23,0,medium
663,22,3,0,180,medium,41,1,medium
664,22,4,0,121,medium,22,1,medium
665,22,5,0,187,medium,7,0,medium
666,22,6,0,65,medium,5,1,hard
667,22,7,0,115,hard,29,0,medium
668,22,8,0,118,medium,15,1,hard
669,22,9,0,99,hard,10,1,hard
670,22,0,1,234,medium,24,0,easy
671,22,1,1,399,easy,55,1,easy
672,22,2,1,218,easy,35,0,easy
673,22,3,1,383,easy,14,1,medium
674,22,4,1,409,medium,49,1,medium
675,22,5,1,376,medium,16,1,hard
676,22,6,1,239,hard,30,0,medium
677,22,7,1,368,medium,50,1,medium
678,22,8,1,406,medium,58,1,medium
679,22,9,1,284,medium,10,1,hard
680,22,0,2,493,medium,12,0,medium
681,22,1,2,619,medium,54,1,medium
682,22,2,2,533,medium,30,0,easy
683,22,3,2,474,easy,24,0,easy
684,22,4,2,437,easy,47,1,easy
685,22,5,2,486,easy,57,1,easy
686,22,6,2,523,easy,41,0,easy
687,22,7,2,435,easy,22,1,easy
688,22,8,2,466,easy,32,1,easy
689,22,9,2,610,easy,20,1,medium
690,23,0,0,25,medium,25,0,easy
691,23,1,0,192,easy,56,0,easy
692,23,2,0,73,easy,57,1,easy
693,23,3,0,48,easy,40,1,easy
694,23,4,0,151,easy,50,1,easy
695,23,5,0,199,easy,42,1,easy
696,23,6,0,153,easy,48,1,easy
